Key,English(en),Chinese (Traditional)(zh-Hant),Chinese (Simplified)(zh-Hans),Thai(th),Korean (South Korea)(ko-KR),Portuguese(pt),Vietnamese(vi),Indonesian(id),Burmese (Myanmar (Burma))(my-MM),Spanish (Spain)(es-ES),Turkish (Turkey)(tr-TR),Japanese (Japan)(ja-JP),Bangla(bn),Russian (ru),備註
### 以下 4 條：覆蓋試算表既有列（試算表為舊版，以規格書 DEV V1.26 為準）,,,,,,,,,,,,,,,
go_btn,OK,確認,确认,ตกลง,확인,OK,OK,OK,OK,OK,Tamam,OK,ঠিক আছে,ОК,結算·按鈕（改字）｜DEV V1.18 單詞化；試算表最後一列(key 空白)即此文案，填入後請刪除該空列
go_hint,Fresh shuffle tomorrow at {reset_time} 🎲,明日 {reset_time} 全新洗牌 🎲,明日 {reset_time} 全新洗牌 🎲,พรุ่งนี้ {reset_time} สับใหม่ทั้งหมด 🎲,내일 {reset_time} 새로 셔플 🎲,Novo embaralhamento amanhã às {reset_time} 🎲,Xáo trộn mới lúc {reset_time} ngày mai 🎲,Kocok ulang besok pukul {reset_time} 🎲,မနက်ဖြန် {reset_time} တွင် အသစ်ရောမွှေမည် 🎲,Nueva mezcla mañana a las {reset_time} 🎲,Yarın {reset_time}'da yeni karıştırma 🎲,明日 {reset_time} に新しくシャッフル 🎲,আগামীকাল {reset_time}-এ নতুন শাফল 🎲,Новое перемешивание завтра в {reset_time} 🎲,結算·重置提示｜DEV V1.13 廢除寫死 00:00、改用 {reset_time}（ru 一併重譯）
tut2_body,The chest resets and reshuffles at {reset_time} every day — the grand prize moves daily. Flip it and it's yours!,寶箱每天 {reset_time} 重置重新洗牌，最大獎位置每天都不一樣——翻到就是你的！,宝箱每天 {reset_time} 重置重新洗牌，最大奖位置每天都不一样——翻到就是你的！,กล่องสมบัติรีเซ็ตและสับใหม่ทุกวันเวลา {reset_time} ตำแหน่งรางวัลใหญ่เปลี่ยนทุกวัน — เปิดเจอก็เป็นของคุณ!,보물상자는 매일 {reset_time}에 리셋·셔플됩니다. 최대 상금 위치는 매일 달라져요 — 뒤집으면 당신의 것!,O baú reinicia e embaralha às {reset_time} todos os dias; o grande prêmio muda de lugar diariamente — vire e ele é seu!,"Rương đặt lại và xáo trộn lúc {reset_time} mỗi ngày, vị trí giải lớn luôn thay đổi — lật trúng là của bạn!","Peti direset dan dikocok ulang pukul {reset_time} setiap hari, posisi hadiah terbesar selalu berbeda — buka dan jadi milikmu!",သေတ္တာကို နေ့စဉ် {reset_time} တွင် ပြန်စပြီး ရောမွှေသည်။ ဆုကြီးနေရာ နေ့တိုင်းပြောင်းသည် — လှန်မိလျှင် သင့်ဟာဖြစ်သည်!,El cofre se reinicia y baraja a las {reset_time} cada día; el gran premio cambia de lugar a diario — ¡voltéalo y es tuyo!,Sandık her gün {reset_time}'da sıfırlanır ve karıştırılır; büyük ödülün yeri her gün değişir — çevirirsen senindir!,宝箱は毎日 {reset_time} にリセット＆シャッフル。最大賞の位置は毎日変わる——めくれたら君のもの！,"চেস্ট প্রতিদিন {reset_time}-এ রিসেট ও নতুন করে শাফল হয়, বড় পুরস্কারের জায়গা প্রতিদিন বদলায় — উল্টালেই আপনার!",Сундук сбрасывается и перемешивается в {reset_time} каждый день — главный приз ежедневно меняет место. Переверните его — и он ваш!,教學2·內文｜DEV V1.13 廢除寫死 00:00、改用 {reset_time}（ru 一併重譯）
go_sub,You won {amount} today,今日累積獲得 {amount},今日累计获得 {amount},วันนี้ได้รับรวม {amount},오늘 총 획득 {amount},Você ganhou {amount} hoje,Hôm nay bạn nhận được {amount},Hari ini kamu dapat {amount},ယနေ့ စုစုပေါင်း {amount} ရရှိခဲ့သည်,Ganaste {amount} hoy,Bugün {amount} kazandın,本日の獲得合計 {amount},আজ মোট পেয়েছেন {amount},Сегодня вы выиграли {amount},結算·今日累積金額｜DEV V1.13 P7 結算卡改版（ru 一併重譯）
### 以下 12 條：試算表尚未收錄，請新增,,,,,,,,,,,,,,,
crm_item_history,History,歷程,历程,ประวัติ,내역,Histórico,Lịch sử,Riwayat,မှတ်တမ်း,Historial,Geçmiş,履歴,ইতিহাস,История,遊戲中心·入口名稱（新增）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
tb_history_btn,Reward history,獎勵歷程,奖励历程,ประวัติรางวัล,보상 내역,Histórico de prêmios,Lịch sử thưởng,Riwayat hadiah,ဆုရရှိမှတ်တမ်း,Historial de premios,Ödül geçmişi,獲得履歴,পুরস্কারের ইতিহাস,История наград,彈窗·歷程入口（新增）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
err_conn_retry,Connection failed. Retrying in {n}s,連線失敗，將在 {n} 秒後重新嘗試,连线失败，将在 {n} 秒后重新尝试,เชื่อมต่อไม่สำเร็จ จะลองใหม่ในอีก {n} วินาที,연결 실패. {n}초 후 다시 시도합니다,Falha na conexão. Tentando novamente em {n}s,Kết nối thất bại. Thử lại sau {n} giây,Koneksi gagal. Mencoba lagi dalam {n} detik,ချိတ်ဆက်မှု မအောင်မြင်ပါ။ {n} စက္ကန့်အကြာတွင် ပြန်ကြိုးစားပါမည်,Error de conexión. Reintentando en {n} s,Bağlantı başarısız. {n} saniye sonra yeniden denenecek,接続に失敗しました。{n} 秒後に再試行します,সংযোগ ব্যর্থ। {n} সেকেন্ড পরে আবার চেষ্টা করা হবে,Не удалось подключиться. Повтор через {n} с,連線失敗跑馬燈｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
err_reconnecting,Reconnecting...,重新連線中...,重新连线中...,กำลังเชื่อมต่อใหม่...,다시 연결 중...,Reconectando...,Đang kết nối lại...,Menghubungkan ulang...,ပြန်လည်ချိတ်ဆက်နေသည်...,Reconectando...,Yeniden bağlanıyor...,再接続中...,পুনরায় সংযোগ করা হচ্ছে...,Переподключение...,重連中跑馬燈｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
hist_empty,No event rewards yet,尚無活動獎勵紀錄,尚无活动奖励记录,ยังไม่มีประวัติรางวัลจากกิจกรรม,아직 이벤트 보상 기록이 없습니다,Ainda não há registros de prêmios de eventos,Chưa có lịch sử thưởng sự kiện,Belum ada riwayat hadiah event,အခမ်းအနား ဆုလက်ဆောင် မှတ်တမ်း မရှိသေးပါ,Aún no hay registros de premios de eventos,Henüz etkinlik ödülü kaydı yok,イベント報酬の記録はまだありません,এখনও কোনো ইভেন্ট পুরস্কারের রেকর্ড নেই,Пока нет наград за мероприятия,活動歷程空狀態｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
hist_date_empty,No rewards on this date,該日期無獲獎紀錄,该日期无获奖记录,ไม่มีประวัติรางวัลในวันที่เลือก,해당 날짜에 획득 기록이 없습니다,Nenhum prêmio nesta data,Không có phần thưởng vào ngày này,Tidak ada hadiah pada tanggal ini,ဤရက်စွဲတွင် ဆုရရှိမှု မှတ်တမ်း မရှိပါ,No hay premios en esta fecha,Bu tarihte ödül kaydı yok,この日付の獲得記録はありません,এই তারিখে কোনো পুরস্কারের রেকর্ড নেই,За эту дату наград нет,日期篩選無結果（V1.22）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
hist_clear_filter,Clear filter,清除篩選,清除筛选,ล้างตัวกรอง,필터 해제,Limpar filtro,Xóa bộ lọc,Hapus filter,စစ်ထုတ်မှု ဖယ်ရှားရန်,Borrar filtro,Filtreyi temizle,フィルターを解除,ফিল্টার সরান,Сбросить фильтр,清除日期篩選（V1.22）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
hist_bet_id,Bet ID,注單 ID,注单 ID,รหัสเดิมพัน,베팅 ID,ID da aposta,Mã cược,ID Taruhan,လောင်းကြေး ID,ID de apuesta,Bahis kimliği,ベットID,বেট আইডি,ID ставки,注單 ID 欄名（V1.22）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
hist_copied,Copied,已複製,已复制,คัดลอกแล้ว,복사되었습니다,Copiado,Đã sao chép,Disalin,ကူးယူပြီးပါပြီ,Copiado,Kopyalandı,コピーしました,কপি করা হয়েছে,Скопировано,ID 已複製 toast（V1.22）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
tb_reset_reopen,Today's chest has reset — close and reopen,今日已重置，關閉後重新開啟,今日已重置，关闭后重新开启,รีเซ็ตแล้ววันนี้ — ปิดแล้วเปิดใหม่,오늘 리셋되었습니다 — 닫았다가 다시 열어주세요,Já foi reiniciado hoje — feche e abra novamente,Hôm nay đã đặt lại — đóng rồi mở lại,Sudah direset hari ini — tutup lalu buka lagi,ယနေ့ ပြန်လည်စတင်ပြီး — ပိတ်ပြီး ပြန်ဖွင့်ပါ,Ya se reinició hoy — cierra y vuelve a abrir,Bugün sıfırlandı — kapatıp yeniden açın,本日はリセット済み — 閉じて開き直してください,আজ রিসেট হয়েছে — বন্ধ করে আবার খুলুন,Сундук уже обновился — закройте и откройте снова,彈窗·跨重置凍結提示（V1.23）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
tb_paused,This event is paused,本活動已暫停,本活动已暂停,กิจกรรมนี้ถูกระงับชั่วคราว,이 이벤트는 일시 중지되었습니다,Este evento está pausado,Sự kiện này đã tạm dừng,Event ini sedang dijeda,ဤအခမ်းအနားကို ခေတ္တရပ်ထားသည်,Este evento está en pausa,Bu etkinlik duraklatıldı,このイベントは一時停止中です,এই ইভেন্টটি সাময়িকভাবে বন্ধ,Мероприятие приостановлено,彈窗·活動已暫停凍結提示（V1.24）｜規格書已收錄、試算表待補；ru 為規格書初譯，須審校
err_conn_restored,Connection restored,已恢復連線,已恢复连线,เชื่อมต่อสำเร็จแล้ว,연결이 복구되었습니다,Conexão restabelecida,Đã kết nối lại,Koneksi pulih,ချိတ်ဆက်မှု ပြန်ကောင်းသွားပါပြီ,Conexión restablecida,Bağlantı yeniden kuruldu,接続が回復しました,সংযোগ পুনরুদ্ধার হয়েছে,Соединение восстановлено,恢復連線提示（3 秒後自動消失）｜DEV V1.30 新增，須與其他語系一併送在地化審校
tb_reshuffled,Event prizes updated. Unopened cells have been reshuffled.,本活動獎項已更新，未開啟的格子已重新配置,本活动奖项已更新，未开启的格子已重新配置,รางวัลกิจกรรมมีการอัปเดต ช่องที่ยังไม่เปิดถูกจัดใหม่แล้ว,이벤트 상품이 변경되어 열지 않은 칸이 다시 배치되었습니다.,Os prêmios do evento foram atualizados. As casas não abertas foram reorganizadas.,Phần thưởng sự kiện đã cập nhật. Các ô chưa mở đã được xáo lại.,Hadiah event diperbarui. Kotak yang belum dibuka telah diacak ulang.,ပွဲတော်ဆုများ ပြင်ဆင်ပြီးပါပြီ။ မဖွင့်ရသေးသော ကွက်များကို ပြန်လည်စီစဉ်ထားသည်။,Los premios del evento se actualizaron. Las casillas sin abrir se reorganizaron.,Etkinlik ödülleri güncellendi. Açılmamış kareler yeniden dağıtıldı.,イベントの賞品が更新されました。未開封のマスは再配置されました。,ইভেন্টের পুরস্কার হালনাগাদ হয়েছে। না খোলা ঘরগুলো পুনরায় সাজানো হয়েছে।,Призы события обновлены. Неоткрытые ячейки перетасованы.,彈窗·活動改版選「立即生效」後未翻格重洗提示（3 秒後自動消失）｜DEV V1.31 新增，14 語系皆為規格書初譯，須送在地化審校
